Date,Open,High,Low,Close,Share,Money,Numb
2000/6/15,8932.59 ,8968.99 ,8826.69 ,8844.97 ,1435292384,85574429538,438301
2000/6/16,8852.32 ,8893.59 ,8791.67 ,8832.15 ,1474557228,83122090804,437771
2000/6/17,8827.35 ,8871.90 ,8753.67 ,8770.80 ,1164852198,65917769310,374699
2000/6/19,8786.37 ,8799.68 ,8653.62 ,8751.10 ,1145891000,65633360740,354817
2000/6/20,8852.97 ,8861.03 ,8688.72 ,8690.66 ,1421336563,82794693060,428163
2000/6/21,8733.20 ,8742.23 ,8631.64 ,8637.60 ,1259980678,70802164541,382888
2000/6/22,8623.40 ,8771.77 ,8616.85 ,8771.77 ,1564723834,96029815640,485134
2000/6/23,8742.21 ,8785.53 ,8682.02 ,8684.93 ,1452714617,76277155970,429025
2000/6/26,8672.80 ,8675.47 ,8507.42 ,8529.56 ,1331384867,68765223893,393728
2000/6/27,8569.35 ,8587.40 ,8412.01 ,8424.17 ,1286039546,64364234461,379669
2000/6/28,8429.05 ,8476.89 ,8248.95 ,8365.63 ,1532924746,79496094841,441488
2000/6/29,8433.90 ,8440.84 ,8112.08 ,8120.89 ,1588313785,82899644435,459718
2000/6/30,8159.41 ,8290.63 ,8050.02 ,8265.09 ,1599966003,80221742377,437899
2000/7/3,8260.95 ,8368.56 ,8138.72 ,8297.77 ,1751984240,76545450417,442793
2000/7/4,8329.77 ,8333.57 ,8024.55 ,8052.54 ,1652486446,69942966912,425136
2000/7/5,8079.28 ,8438.72 ,7988.54 ,8421.74 ,2102514528,1.00031E+11,533214
2000/7/6,8291.27 ,8383.69 ,8277.94 ,8289.39 ,2207551897,87675528569,507188
2000/7/7,8318.47 ,8370.56 ,8173.08 ,8173.08 ,1547158250,70493081682,417908
2000/7/10,8209.86 ,8211.35 ,8015.38 ,8154.67 ,1381949140,60940729377,371719
2000/7/11,8153.81 ,8262.64 ,8116.02 ,8158.63 ,1357534617,61597421687,375996
2000/7/12,8168.56 ,8180.06 ,8025.19 ,8059.75 ,1365205532,55527921549,368129
2000/7/13,8101.38 ,8304.01 ,8101.38 ,8267.66 ,1937416794,98647704791,517345
